m1,m2,m3,m4,m5,m6,repository,version,ncloc,code_quality,testing_status,Maintainability,Reliability,total
0.5625,0.0,1.0,0,0,1.0,fga-eps-mds-2022-2-schedula-detalhador_de_chamados,1-11-2023-3-1-33,1362,0.515625,0.5,0.2578125,0.25,0.5078125
0.5625,0.0,1.0,0,0,1.0,fga-eps-mds-2022-2-schedula-detalhador_de_chamados,1-14-2023-13-4-16,1376,0.515625,0.5,0.2578125,0.25,0.5078125
0.5,0.0,1.0,0,0,1.0,fga-eps-mds-2022-2-schedula-detalhador_de_chamados,1-19-2023-17-50-51,1646,0.495,0.5,0.2475,0.25,0.4975
0.5625,0.0,1.0,0,0,1.0,fga-eps-mds-2022-2-schedula-detalhador_de_chamados,1-2-2023-20-32-56,1383,0.515625,0.5,0.2578125,0.25,0.5078125
0.44,0.0,1.0,0,0,1.0,fga-eps-mds-2022-2-schedula-detalhador_de_chamados,1-24-2023-20-36-58,2286,0.4752,0.5,0.2376,0.25,0.48760000000000003
0.75,0.0,1.0,0,0,1.0,fga-eps-mds-2022-2-schedula-detalhador_de_chamados,12-11-2022-13-53-22,66,0.5775,0.5,0.28875,0.25,0.5387500000000001
0.75,0.0,1.0,0,0,1.0,fga-eps-mds-2022-2-schedula-detalhador_de_chamados,12-11-2022-18-27-31,66,0.5775,0.5,0.28875,0.25,0.5387500000000001
0.75,0.0,1.0,0,0,1.0,fga-eps-mds-2022-2-schedula-detalhador_de_chamados,12-12-2022-12-41-30,66,0.5775,0.5,0.28875,0.25,0.5387500000000001
0.75,0.0,1.0,0,0,1.0,fga-eps-mds-2022-2-schedula-detalhador_de_chamados,12-13-2022-1-10-40,66,0.5775,0.5,0.28875,0.25,0.5387500000000001
0.75,0.0,1.0,0,0,1.0,fga-eps-mds-2022-2-schedula-detalhador_de_chamados,12-13-2022-1-11-45,66,0.5775,0.5,0.28875,0.25,0.5387500000000001
0.75,0.0,1.0,0,0,1.0,fga-eps-mds-2022-2-schedula-detalhador_de_chamados,12-19-2022-0-40-31,66,0.5775,0.5,0.28875,0.25,0.5387500000000001
0.7333333333333333,0.06666666666666667,1.0,0,0,1.0,fga-eps-mds-2022-2-schedula-detalhador_de_chamados,12-26-2022-13-55-58,917,0.5940000000000001,0.5,0.29700000000000004,0.25,0.547
0.7333333333333333,0.06666666666666667,1.0,0,0,1.0,fga-eps-mds-2022-2-schedula-detalhador_de_chamados,12-27-2022-13-56-6,914,0.5940000000000001,0.5,0.29700000000000004,0.25,0.547
0.7333333333333333,0.06666666666666667,1.0,0,0,1.0,fga-eps-mds-2022-2-schedula-detalhador_de_chamados,12-27-2022-13-57-10,914,0.5940000000000001,0.5,0.29700000000000004,0.25,0.547
0.7333333333333333,0.06666666666666667,1.0,0,0,1.0,fga-eps-mds-2022-2-schedula-detalhador_de_chamados,12-27-2022-14-28-8,914,0.5940000000000001,0.5,0.29700000000000004,0.25,0.547
0.5,0.0,1.0,0,0,1.0,fga-eps-mds-2022-2-schedula-gerenciador_de_localidades,1-11-2023-3-3-44,544,0.495,0.5,0.2475,0.25,0.4975
0.5,0.0,1.0,0,0,1.0,fga-eps-mds-2022-2-schedula-gerenciador_de_localidades,1-18-2023-17-48-31,548,0.495,0.5,0.2475,0.25,0.4975
0.5,0.0,1.0,0,0,1.0,fga-eps-mds-2022-2-schedula-gerenciador_de_localidades,1-18-2023-18-1-43,548,0.495,0.5,0.2475,0.25,0.4975
0.5,0.0,1.0,0,0,1.0,fga-eps-mds-2022-2-schedula-gerenciador_de_localidades,1-18-2023-18-2-11,548,0.495,0.5,0.2475,0.25,0.4975
0.5,0.0,1.0,0,0,1.0,fga-eps-mds-2022-2-schedula-gerenciador_de_localidades,1-18-2023-19-55-49,548,0.495,0.5,0.2475,0.25,0.4975
0.5,0.0,1.0,0,0,1.0,fga-eps-mds-2022-2-schedula-gerenciador_de_localidades,1-19-2023-12-0-0,548,0.495,0.5,0.2475,0.25,0.4975
0.5294117647058824,0.0,1.0,0,0,1.0,fga-eps-mds-2022-2-schedula-gerenciador_de_localidades,1-24-2023-20-31-21,1485,0.5047058823529412,0.5,0.2523529411764706,0.25,0.5023529411764707
0.5294117647058824,0.0,1.0,0,0,1.0,fga-eps-mds-2022-2-schedula-gerenciador_de_localidades,1-25-2023-14-27-21,1483,0.5047058823529412,0.5,0.2523529411764706,0.25,0.5023529411764707
0.75,0.0,1.0,0,0,1.0,fga-eps-mds-2022-2-schedula-gerenciador_de_localidades,1-5-2023-13-22-28,66,0.5775,0.5,0.28875,0.25,0.5387500000000001
0.75,0.0,1.0,0,0,1.0,fga-eps-mds-2022-2-schedula-gerenciador_de_localidades,1-5-2023-21-3-42,66,0.5775,0.5,0.28875,0.25,0.5387500000000001
0.5,0.0,1.0,0,0,1.0,fga-eps-mds-2022-2-schedula-gerenciador_de_localidades,1-8-2023-22-0-30,532,0.495,0.5,0.2475,0.25,0.4975
0.75,0.0,1.0,0,0,1.0,fga-eps-mds-2022-2-schedula-gerenciador_de_localidades,12-11-2022-13-53-8,66,0.5775,0.5,0.28875,0.25,0.5387500000000001
0.75,0.0,1.0,0,0,1.0,fga-eps-mds-2022-2-schedula-gerenciador_de_localidades,12-11-2022-18-27-17,66,0.5775,0.5,0.28875,0.25,0.5387500000000001
0.75,0.0,1.0,0,0,1.0,fga-eps-mds-2022-2-schedula-gerenciador_de_localidades,12-28-2022-14-33-36,66,0.5775,0.5,0.28875,0.25,0.5387500000000001
0.42105263157894735,0.10526315789473684,1.0,0,0,1.0,fga-eps-mds-2022-2-schedula-gestor_de_usuarios,1-11-2023-2-22-57,1469,0.5036842105263157,0.5,0.25184210526315787,0.25,0.5018421052631579
0.4,0.1,1.0,0,0,1.0,fga-eps-mds-2022-2-schedula-gestor_de_usuarios,1-11-2023-3-4-1,1570,0.495,0.5,0.2475,0.25,0.4975
0.4,0.1,1.0,0,0,1.0,fga-eps-mds-2022-2-schedula-gestor_de_usuarios,1-24-2023-20-30-27,1574,0.495,0.5,0.2475,0.25,0.4975
0.75,0.0,1.0,0,0,1.0,fga-eps-mds-2022-2-schedula-gestor_de_usuarios,12-11-2022-13-53-44,66,0.5775,0.5,0.28875,0.25,0.5387500000000001
0.75,0.0,1.0,0,0,1.0,fga-eps-mds-2022-2-schedula-gestor_de_usuarios,12-11-2022-17-49-10,66,0.5775,0.5,0.28875,0.25,0.5387500000000001
0.75,0.0,1.0,0,0,1.0,fga-eps-mds-2022-2-schedula-gestor_de_usuarios,12-11-2022-19-29-11,66,0.5775,0.5,0.28875,0.25,0.5387500000000001
0.75,0.0,1.0,0,0,1.0,fga-eps-mds-2022-2-schedula-gestor_de_usuarios,12-11-2022-19-51-45,66,0.5775,0.5,0.28875,0.25,0.5387500000000001
0.75,0.0,1.0,0,0,1.0,fga-eps-mds-2022-2-schedula-gestor_de_usuarios,12-11-2022-19-9-11,66,0.5775,0.5,0.28875,0.25,0.5387500000000001
